path,fixture,repetition,incumbent_generation,successor_generation,T0_ns,T1_ns,T2_ns,T3_ns,T4_ns,T5_ns,in_flight_run_duration_ns,supersession_to_engine_return_ns,supersession_to_old_suppression_ns,supersession_to_new_publication_ns,post_engine_suppression_overhead_ns,successor_completion_after_suppression_ns,obsolete_runs_entered_before_T2,obsolete_runs_finished_after_T2,obsolete_runs_started_after_T2,current_generation_complete_runs,stale_publication_attempts,stale_publications_accepted,partial_publications,numerical_equivalence
HOME,normal,1,1,2,61573252105100,61573256692900,61573261581900,61573271907900,NOT_OBSERVABLE,61573278858000,22165100,10326000,NOT_OBSERVABLE,17276100,NOT_OBSERVABLE,NOT_OBSERVABLE,1,1,0,0,1,0,0,PASS
HOME,normal,2,1,2,61573308785200,61573308828300,61573311397600,61573312106300,NOT_OBSERVABLE,61573313252700,4424400,708700,NOT_OBSERVABLE,1855100,NOT_OBSERVABLE,NOT_OBSERVABLE,1,1,0,0,1,0,0,PASS
HOME,normal,3,1,2,61573315961600,61573315987600,61573319415400,61573320087700,NOT_OBSERVABLE,61573321056000,5068400,672300,NOT_OBSERVABLE,1640600,NOT_OBSERVABLE,NOT_OBSERVABLE,1,1,0,0,1,0,0,PASS
HOME,stress,1,1,2,61573323792700,61573324609200,61573327009400,61573354979900,NOT_OBSERVABLE,61573385154200,60545000,27970500,NOT_OBSERVABLE,58144800,NOT_OBSERVABLE,NOT_OBSERVABLE,1,1,0,0,1,0,0,PASS
HOME,stress,2,1,2,61573415452400,61573415563900,61573418427300,61573447789900,NOT_OBSERVABLE,61573484265500,68701600,29362600,NOT_OBSERVABLE,65838200,NOT_OBSERVABLE,NOT_OBSERVABLE,1,1,0,0,1,0,0,PASS
HOME,stress,3,1,2,61573524349500,61573524503300,61573527517600,61573559846200,NOT_OBSERVABLE,61573588422500,63919200,32328600,NOT_OBSERVABLE,60904900,NOT_OBSERVABLE,NOT_OBSERVABLE,1,1,0,0,1,0,0,PASS
RETROSPECTIVE,normal,1,1,2,61573632100200,61573640349300,61573643377700,61573643611600,61573644523800,61573657587100,17237800,233900,1146100,14209400,912200,13063300,1,0,0,0,1,0,0,PASS
RETROSPECTIVE,normal,2,1,2,61573662868500,61573662977000,61573665756700,61573666103700,61573666287300,61573668249200,5272200,347000,530600,2492500,183600,1961900,1,0,0,0,1,0,0,PASS
RETROSPECTIVE,normal,3,1,2,61573670834500,61573671075100,61573673326900,61573673543900,61573673778600,61573675893400,4818300,217000,451700,2566500,234700,2114800,1,0,0,0,1,0,0,PASS
RETROSPECTIVE,stress,1,1,2,61573679978600,61573680846200,61573683876400,61573685703500,61573685883500,61573691496100,10649900,1827100,2007100,7619700,180000,5612600,1,0,0,0,1,0,0,PASS
RETROSPECTIVE,stress,2,1,2,61573697537100,61573698057500,61573700395400,61573701566400,61573701807000,61573705558000,7500500,1171000,1411600,5162600,240600,3751000,1,0,0,0,1,0,0,PASS
RETROSPECTIVE,stress,3,1,2,61573711579400,61573712075000,61573714444800,61573715859500,61573715994000,61573719735700,7660700,1414700,1549200,5290900,134500,3741700,1,0,0,0,1,0,0,PASS
