path,repetition,generation,T0_ns,T1_ns,T2_ns,T3_ns,engine_thread,engine_on_main,calculator_returned_on_default,calculator_cancelled,publication_on_main,publication_at_ns,publication_thread,publication_on_main_looper,classification
CONTROL_DEFAULT_DEFAULT,1,1,40887294999683,40887295942483,40887309862883,40887938744083,DefaultDispatcher-worker-2,false,true,false,true,40887940110583,main,true,STALE_ACCEPTED
CONTROL_DEFAULT_DEFAULT,1,2,40887939798083,40887940539583,40887954131783,40888557201583,DefaultDispatcher-worker-2,false,true,false,true,40888559532983,main,true,STALE_ACCEPTED
CONTROL_DEFAULT_DEFAULT,1,3,40888558646683,40888559600283,40888565118583,40889187358783,DefaultDispatcher-worker-2,false,true,false,true,40889189475083,main,true,STALE_ACCEPTED
CONTROL_DEFAULT_DEFAULT,1,4,40889188608983,40889189089683,0,40889771989383,DefaultDispatcher-worker-2,false,true,false,true,40889774107483,main,true,NO_STALE_PUBLICATION
CONTROL_DEFAULT_DEFAULT,2,1,40890340921783,40890341732883,40890349306883,40890938594583,DefaultDispatcher-worker-3,false,true,false,true,40890939011383,main,true,STALE_ACCEPTED
CONTROL_DEFAULT_DEFAULT,2,2,40890938972583,40890939577783,40890941584583,40891543208283,DefaultDispatcher-worker-3,false,true,false,true,40891545662483,main,true,STALE_ACCEPTED
CONTROL_DEFAULT_DEFAULT,2,3,40891544783783,40891545685083,40891555814483,40892158675083,DefaultDispatcher-worker-3,false,true,false,true,40892161429583,main,true,STALE_ACCEPTED
CONTROL_DEFAULT_DEFAULT,2,4,40892160009183,40892160767383,0,40892714886383,DefaultDispatcher-worker-3,false,true,false,true,40892717972483,main,true,NO_STALE_PUBLICATION
CONTROL_DEFAULT_DEFAULT,3,1,40893295762483,40893296622283,40893301709083,40893914582383,DefaultDispatcher-worker-2,false,true,false,true,40893915399383,main,true,STALE_ACCEPTED
CONTROL_DEFAULT_DEFAULT,3,2,40893915009583,40893915646683,40893929125683,40894490733883,DefaultDispatcher-worker-2,false,true,false,false,0,NONE,false,NO_STALE_PUBLICATION
CONTROL_DEFAULT_DEFAULT,3,3,40894492149983,40894492678483,40894494215883,40895063085883,DefaultDispatcher-worker-2,false,true,false,true,40895065490483,main,true,STALE_ACCEPTED
