"group","rep","point","valid","submitted","started","skipped","finalRequestId","finalLabel","finalSubmitNs","finalBodyLaunchNs","finalEngineEnterNs","finalEngineReturnNs","finalCalculatorReturnNs","finalPublicationNs","finalStartNs","finalRuntimeNs","finalPublicationLatencyNs","activeAtFinalSubmission","peakConcurrency","obsoleteDrainNs","engineOnMain","finalEngineThread","publicationThread"
"A","0","clean","true","1","1","0","1","initial","45679058293983","45679119502283","45679141985583","45679819658783","45679820468283","45679821347483","83691600","677673200","763053500","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","1","clean","true","1","1","0","1","initial","45679832326783","45679835577383","45679837431083","45680540787283","45680541018183","45680547925783","5104300","703356200","715599000","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","2","clean","true","1","1","0","1","initial","45680571047983","45680575177283","45680577526783","45681328704983","45681328967283","45681330853683","6478800","751178200","759805700","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","3","clean","true","1","1","0","1","initial","45681348805183","45681351974683","45681354582983","45682130193283","45682130461283","45682130818283","5777800","775610300","782013100","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","4","clean","true","1","1","0","1","initial","45682137695483","45682141764183","45682144745283","45682903966383","45682904148983","45682904537383","7049800","759221100","766841900","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","5","clean","true","1","1","0","1","initial","45682914495683","45682917995983","45682920420783","45683658542483","45683658734583","45683659218383","5925100","738121700","744722700","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","6","clean","true","1","1","0","1","initial","45683668867083","45683674098083","45683677105583","45684448518983","45684448801683","45684452540083","8238500","771413400","783673000","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","7","clean","true","1","1","0","1","initial","45684459468983","45684463994283","45684469246783","45685219968783","45685220316283","45685223542783","9777800","750722000","764073800","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","8","clean","true","1","1","0","1","initial","45685248159783","45685249331683","45685250470583","45686012762983","45686012972683","45686015727983","2310800","762292400","767568200","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","9","clean","true","1","1","0","1","initial","45686023128983","45686028441883","45686031120383","45686780621783","45686780842483","45686781222883","7991400","749501400","758093900","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","10","clean","true","1","1","0","1","initial","45686790615483","45686794283483","45686797414383","45687557109883","45687557316083","45687559859583","6798900","759695500","769244100","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","11","clean","true","1","1","0","1","initial","45687572726783","45687575791683","45687577423083","45688333513983","45688333717383","45688334036383","4696300","756090900","761309600","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","12","clean","true","1","1","0","1","initial","45688345155983","45688348479583","45688350513783","45689123663883","45689123862183","45689126323483","5357800","773150100","781167500","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","13","clean","true","1","1","0","1","initial","45689133021283","45689135903683","45689138270283","45689901668183","45689901906083","45689905272183","5249000","763397900","772250900","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","14","clean","true","1","1","0","1","initial","45689925666083","45689928432583","45689930788783","45690694889383","45690695098483","45690695969883","5122700","764100600","770303800","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","15","clean","true","1","1","0","1","initial","45690703894883","45690708694483","45690710397483","45691456075883","45691456341283","45691459703883","6502600","745678400","755809000","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","16","clean","true","1","1","0","1","initial","45691477780983","45691478898583","45691482221683","45692274651383","45692274854183","45692275290083","4440700","792429700","797509100","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","17","clean","true","1","1","0","1","initial","45692282178083","45692284529983","45692288486183","45693051815983","45693052035383","45693057144983","6308100","763329800","774966900","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","18","clean","true","1","1","0","1","initial","45693060929183","45693065432483","45693068137183","45693883116483","45693883324683","45693886023583","7208000","814979300","825094400","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","19","clean","true","1","1","0","1","initial","45693895485683","45693900349183","45693901433283","45694669428483","45694669827483","45694673514383","5947600","767995200","778028700","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","20","clean","true","1","1","0","1","initial","45694681217783","45694683997883","45694686382583","45695472927583","45695473135983","45695473436783","5164800","786545000","792219000","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","21","clean","true","1","1","0","1","initial","45695487817283","45695492091483","45695495230683","45696274254983","45696274498183","45696275138283","7413400","779024300","787321000","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","22","clean","true","1","1","0","1","initial","45696284974283","45696287544383","45696290224683","45697048938583","45697049261083","45697052236283","5250400","758713900","767262000","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","23","clean","true","1","1","0","1","initial","45697057360383","45697060518483","45697063584883","45697825924183","45697826245483","45697828599083","6224500","762339300","771238700","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","24","clean","true","1","1","0","1","initial","45697848139383","45697851305783","45697854213183","45698608056683","45698612815983","45698615615383","6073800","753843500","767476000","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","25","clean","true","1","1","0","1","initial","45698622499083","45698624835983","45698627596883","45699398446583","45699398674683","45699400292183","5097800","770849700","777793100","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","26","clean","true","1","1","0","1","initial","45699410777783","45699413983683","45699415300083","45700182878683","45700183106883","45700183447983","4522300","767578600","772670200","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","27","clean","true","1","1","0","1","initial","45700193594583","45700195884883","45700199206483","45700976351183","45700976596083","45700979216583","5611900","777144700","785622000","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","28","clean","true","1","1","0","1","initial","45700987926383","45700990352983","45700994114683","45701742467283","45701742710183","45701745832283","6188300","748352600","757905900","0","1","0","false","DefaultDispatcher-worker-3","Main"
"A","29","clean","true","1","1","0","1","initial","45701757608283","45701760001483","45701762354783","45702581802883","45702582120783","45702584349583","4746500","819448100","826741300","0","1","0","false","DefaultDispatcher-worker-3","Main"
"C","0","manual-refresh-200ms","true","5","3","2","5","burst-final","45703443255483","45704158987383","45704162811883","45704909646483","45704909976783","45704912211583","719556400","746834600","1468956100","1","1","712442200","false","DefaultDispatcher-worker-3","Main"
"C","1","manual-refresh-200ms","true","5","3","2","5","burst-final","45705753200283","45706456962283","45706457904183","45707231596183","45707232295183","45707234765183","704703900","773692000","1481564900","1","1","700821600","false","DefaultDispatcher-worker-3","Main"
"C","2","manual-refresh-200ms","true","5","4","1","5","burst-final","45708078255283","45708838613483","45708841999383","45709611551783","45709612210383","45709612831983","763744100","769552400","1534576700","1","1","759482400","false","DefaultDispatcher-worker-3","Main"
"C","3","manual-refresh-200ms","true","5","3","2","5","burst-final","45710483828883","45711171721183","45711173544083","45711927229683","45711927494083","45711929584283","689715200","753685600","1445755400","1","1","683736200","false","DefaultDispatcher-worker-1","Main"
"C","4","manual-refresh-200ms","true","5","4","1","5","burst-final","45712794785983","45713519647783","45713522297483","45714280261483","45714280469283","45714280835383","727511500","757964000","1486049400","1","1","721463100","false","DefaultDispatcher-worker-1","Main"
"C","5","manual-refresh-200ms","true","5","3","2","5","burst-final","45715152592883","45715809003883","45715810006883","45716575505283","45716575691983","45716576101983","657414000","765498400","1423509100","1","1","653555400","false","DefaultDispatcher-worker-1","Main"
"C","6","manual-refresh-200ms","true","5","3","2","5","burst-final","45717448416383","45718133768283","45718137088683","45718884569783","45718884792983","45718887903083","688672300","747481100","1439486700","1","1","682326600","false","DefaultDispatcher-worker-1","Main"
"C","7","manual-refresh-200ms","true","5","3","2","5","burst-final","45719751217283","45720474847983","45720477362183","45721246188883","45721246645383","45721248696183","726144900","768826700","1497478900","1","1","720290100","false","DefaultDispatcher-worker-1","Main"
"C","8","manual-refresh-200ms","true","5","3","2","5","burst-final","45722095030383","45722798651283","45722799660983","45723565137483","45723565337683","45723567931383","704630600","765476500","1472901000","1","1","701391400","false","DefaultDispatcher-worker-1","Main"
"C","9","manual-refresh-200ms","true","5","4","1","5","burst-final","45724433507683","45725123329983","45725125133983","45725887401083","45725887755583","45725888983183","691626300","762267100","1455475500","1","1","686875500","false","DefaultDispatcher-worker-1","Main"
"C","10","manual-refresh-200ms","true","5","3","2","5","burst-final","45726736106383","45727457792783","45727458280483","45728219782783","45728219979183","45728222491783","722174100","761502300","1486385400","1","1","719305500","false","DefaultDispatcher-worker-1","Main"
"C","11","manual-refresh-200ms","true","5","3","2","5","burst-final","45729074514083","45729767448483","45729769420483","45730558848183","45730559026283","45730561499283","694906400","789427700","1486985200","1","1","691085600","false","DefaultDispatcher-worker-1","Main"
"C","12","manual-refresh-200ms","true","5","3","2","5","burst-final","45731425752783","45732099093683","45732099494383","45732858788783","45732858994883","45732861495283","673741600","759294400","1435742500","1","1","669945600","false","DefaultDispatcher-worker-1","Main"
"C","13","manual-refresh-200ms","true","5","3","2","5","burst-final","45733708356383","45734469633683","45734469854183","45735239971583","45735240170583","45735241779983","761497800","770117400","1533423600","1","1","758465400","false","DefaultDispatcher-worker-1","Main"
"C","14","manual-refresh-200ms","true","5","3","2","5","burst-final","45736089105383","45736779723883","45736780984483","45737536360883","45737536559083","45737536910083","691879100","755376400","1447804700","1","1","687637300","false","DefaultDispatcher-worker-1","Main"
"C","15","manual-refresh-200ms","true","5","3","2","5","burst-final","45738373534883","45739066295383","45739066560083","45739853900983","45739854096783","45739856341783","693025200","787340900","1482806900","1","1","690610900","false","DefaultDispatcher-worker-1","Main"
"C","16","manual-refresh-200ms","true","5","3","2","5","burst-final","45740730285983","45741406526983","45741406847183","45742161837383","45742162068583","45742165702883","676561200","754990200","1435416900","1","1","673477500","false","DefaultDispatcher-worker-1","Main"
"C","17","manual-refresh-200ms","true","5","3","2","5","burst-final","45743016250983","45743713265083","45743713752283","45744476140983","45744476351483","45744476757283","697501300","762388700","1460506300","1","1","693666800","false","DefaultDispatcher-worker-1","Main"
"C","18","manual-refresh-200ms","true","5","3","2","5","burst-final","45745324521983","45746003406683","45746005039583","45746759815583","45746760010983","45746762505483","680517600","754776000","1437983500","1","1","676061700","false","DefaultDispatcher-worker-1","Main"
"C","19","manual-refresh-200ms","true","5","4","1","5","burst-final","45747611094283","45748279155783","45748282281483","45749058381083","45749058589683","45749059088883","671187200","776099600","1447994600","1","1","667025700","false","DefaultDispatcher-worker-1","Main"
"C","20","manual-refresh-200ms","true","5","3","2","5","burst-final","45749885588583","45750658214283","45750658559383","45751434881983","45751435310583","45751437967483","772970800","776322600","1552378900","1","1","769947100","false","DefaultDispatcher-worker-1","Main"
"C","21","manual-refresh-200ms","true","5","3","2","5","burst-final","45752277288883","45752994430683","45752994672183","45753787219683","45753787428083","45753790704883","717383300","792547500","1513416000","1","1","714266200","false","DefaultDispatcher-worker-1","Main"
"C","22","manual-refresh-200ms","true","5","3","2","5","burst-final","45754660087383","45755346205483","45755347645983","45756110057783","45756110260183","45756111150483","687558600","762411800","1451063100","1","1","684825500","false","DefaultDispatcher-worker-1","Main"
"C","23","manual-refresh-200ms","true","5","4","1","5","burst-final","45756969636383","45757637695983","45757638124483","45758410276883","45758410456483","45758410847483","668488100","772152400","1441211100","1","1","664570800","false","DefaultDispatcher-worker-1","Main"
"C","24","manual-refresh-200ms","true","5","3","2","5","burst-final","45759250725683","45759941494383","45759941700783","45760700348483","45760700543683","45760703375283","690975100","758647700","1452649600","1","1","688054700","false","DefaultDispatcher-worker-1","Main"
