"group","rep","valid","submitted","started","skipped","finalStartMs","finalRuntimeMs","finalPublicationLatencyMs","obsoleteDrainMs","peakConcurrency","obsoleteCancelled","obsoleteCompleted","engineOnMain","finalEngineThread","publicationThread"
"A","0","true","1","1","0","106.8122","701.0858","812.4765","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","1","true","1","1","0","5.3376","785.2331","795.6137","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","2","true","1","1","0","7.9282","792.3278","802.0389","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","3","true","1","1","0","8.4994","843.7496","853.4759","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","4","true","1","1","0","7.4017","853.2852","863.1285","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","5","true","1","1","0","7.8266","846.3776","859.5302","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","6","true","1","1","0","9.548","810.9979","822.906","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","7","true","1","1","0","4.3635","789.6758","794.7692","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","8","true","1","1","0","7.9767","799.7968","810.0184","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","9","true","1","1","0","6.3553","792.3055","801.7384","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","10","true","1","1","0","5.6387","802.8339","811.6553","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","11","true","1","1","0","7.283","827.3661","836.6391","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","12","true","1","1","0","8.6801","814.4375","826.5783","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","13","true","1","1","0","7.7965","803.9074","814.5583","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","14","true","1","1","0","6.3266","795.7663","805.2793","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","15","true","1","1","0","6.0973","790.0553","796.7018","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","16","true","1","1","0","3.6235","808.6698","814.7546","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","17","true","1","1","0","6.3684","789.2151","796.3338","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","18","true","1","1","0","5.3058","773.9354","780.3775","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","19","true","1","1","0","6.9956","785.8312","793.4313","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","20","true","1","1","0","6.7567","765.6234","776.2266","0","1","0","0","false","DefaultDispatcher-worker-3","main"
"A","21","true","1","1","0","6.2332","792.6117","799.439","0","1","0","0","false","DefaultDispatcher-worker-3","main"
