"group","rep","valid","submitted","started","skipped","finalStartMs","finalRuntimeMs","finalPublicationLatencyMs","obsoleteDrainMs","peakConcurrency","obsoleteCancelled","obsoleteCompleted","engineOnMain","finalEngineThread","publicationThread"
"C","0","true","5","5","0","10.159","818.3996","831.6254","4.9043","1","4","0","false","DefaultDispatcher-worker-3","main"
"C","1","true","5","5","0","5.5169","846.0976","854.7755","0.4141","1","4","0","false","DefaultDispatcher-worker-3","main"
"C","2","true","5","5","0","5.7925","761.7347","768.0831","0.3136","1","4","0","false","DefaultDispatcher-worker-3","main"
"C","3","true","5","5","0","4.0423","771.3234","776.2648","0.6791","1","4","0","false","DefaultDispatcher-worker-3","main"
"C","4","true","5","5","0","7.0381","771.8879","781.4868","0.4933","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","5","true","5","5","0","6.0711","777.1916","785.5001","1.3457","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","6","true","5","5","0","5.368","800.2688","808.8314","0.519","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","7","true","5","5","0","6.2129","776.6667","785.386","2.7081","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","8","true","5","5","0","6.3406","785.7755","793.4786","2.5114","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","9","true","5","5","0","4.7434","821.0202","826.3524","1.5994","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","10","true","5","5","0","2.8382","766.3673","769.8291","0.3459","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","11","true","5","5","0","3.3103","768.0224","774.0686","0.5071","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","12","true","5","5","0","5.4254","763.633","769.6088","1.0927","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","13","true","5","5","0","6.1296","784.0093","793.8114","1.4609","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","14","true","5","5","0","5.0207","756.204","764.2017","0.7375","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","15","true","5","5","0","4.5797","786.3566","791.6148","2.2528","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","16","true","5","5","0","3.0168","781.4321","784.9858","0.3322","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","17","true","5","5","0","4.2738","804.8172","810.9992","1.9468","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","18","true","5","5","0","3.3477","840.564","845.8153","0.4217","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","19","true","5","5","0","3.3058","820.6846","827.2674","0.464","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","20","true","5","5","0","4.8878","787.8861","795.4175","0.7053","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","21","true","5","5","0","4.4845","774.6095","781.5173","0.5751","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","22","true","5","5","0","5.1624","777.0769","783.7027","2.268","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","23","true","5","5","0","5.8575","790.1481","799.6387","0.3878","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","24","true","5","5","0","1.0281","777.6054","779.1434","0.3776","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","25","true","5","5","0","5.0518","764.2443","771.9314","0.5532","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","26","true","5","5","0","4.3721","770.1413","777.3679","1.7842","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","27","true","5","5","0","5.7414","771.3193","784.4993","2.511","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","28","true","5","5","0","7.1493","771.746","779.5926","0.9374","1","4","0","false","DefaultDispatcher-worker-2","main"
"C","29","true","5","5","0","5.9343","781.5463","791.9354","2.9896","1","4","0","false","DefaultDispatcher-worker-2","main"
