dataset,metric,index,value_ms
small-1000,interpolation-main-wall,0,1.1611
small-1000,interpolation-main-wall,1,0.5525
small-1000,interpolation-main-wall,2,0.9279
small-1000,interpolation-main-wall,3,1.5528
small-1000,interpolation-main-wall,4,0.9307
small-1000,interpolation-main-wall,5,0.6503
small-1000,interpolation-main-wall,6,0.8252
small-1000,interpolation-main-wall,7,0.7324
small-1000,interpolation-main-wall,8,0.7970
small-1000,interpolation-main-wall,9,0.9311
small-1000,interpolation-main-wall,10,0.9372
small-1000,interpolation-main-wall,11,1.1146
small-1000,interpolation-main-wall,12,1.0145
small-1000,interpolation-main-wall,13,1.1221
small-1000,interpolation-main-wall,14,2.5057
small-1000,interpolation-main-wall,15,1.0788
small-1000,interpolation-main-wall,16,0.8089
small-1000,interpolation-main-wall,17,1.9953
small-1000,interpolation-main-wall,18,0.9342
small-1000,interpolation-main-wall,19,0.9584
small-1000,interpolation-main-wall,20,0.5662
small-1000,interpolation-main-wall,21,0.8017
small-1000,interpolation-main-wall,22,1.0415
small-1000,interpolation-main-wall,23,0.8107
small-1000,interpolation-main-wall,24,0.7725
small-1000,interpolation-main-wall,25,0.7448
small-1000,interpolation-main-wall,26,0.7525
small-1000,interpolation-main-wall,27,0.4680
small-1000,interpolation-main-wall,28,0.6341
small-1000,interpolation-main-wall,29,0.2461
small-1000,interpolation-main-wall,30,0.7028
small-1000,interpolation-main-wall,31,0.3487
small-1000,interpolation-main-wall,32,0.3455
small-1000,interpolation-main-wall,33,0.2835
small-1000,interpolation-main-wall,34,0.2820
small-1000,interpolation-main-wall,35,0.2867
small-1000,interpolation-main-wall,36,0.2340
small-1000,interpolation-main-wall,37,0.2677
small-1000,interpolation-main-wall,38,0.3336
small-1000,interpolation-main-wall,39,0.4136
small-1000,interpolation-main-wall,40,0.4104
small-1000,interpolation-main-wall,41,0.6178
small-1000,interpolation-main-wall,42,0.1162
small-1000,interpolation-main-wall,43,0.1161
small-1000,interpolation-main-wall,44,0.1160
small-1000,interpolation-main-wall,45,0.1480
small-1000,interpolation-main-wall,46,0.0972
small-1000,interpolation-main-wall,47,0.0953
small-1000,interpolation-main-wall,48,0.0611
small-1000,interpolation-main-wall,49,0.0610
small-1000,interpolation-main-wall,50,0.0610
small-1000,interpolation-main-wall,51,0.0610
small-1000,interpolation-main-wall,52,0.0610
small-1000,interpolation-main-wall,53,0.0610
small-1000,interpolation-main-wall,54,0.0613
small-1000,interpolation-main-wall,55,0.0610
small-1000,interpolation-main-wall,56,0.0613
small-1000,interpolation-main-wall,57,0.0613
small-1000,interpolation-main-wall,58,0.0623
small-1000,interpolation-main-wall,59,0.0609
small-1000,interpolation-main-cpu,0,1.0118
small-1000,interpolation-main-cpu,1,0.5449
small-1000,interpolation-main-cpu,2,0.9205
