"dataset","metric","n","min_ms","max_ms","mean_ms","median_ms","p95_ms"
"representative-8641","chart-idle-1hz-ui-cpu","60","17.0259","44.6778","22.0344","20.5558","30.5994"
"representative-8641","chart-idle-1hz-wall","60","61.3975","110.8285","69.8796","64.0991","94.3330"
"representative-8641","chart-warm-ui-cpu","30","15.4614","54.3202","26.0153","23.4481","49.6929"
"representative-8641","chart-warm-wall","30","59.4124","110.3103","73.4755","65.3457","110.1827"
"representative-8641","gesture-pan-wall","20","91.9768","168.6634","119.1856","112.1533","141.9412"
"representative-8641","gesture-zoom-wall","20","39.2183","93.6460","71.7340","68.3363","93.5640"
"representative-8641","interpolation-main-cpu","60","0.0000","0.3323","0.0566","0.0000","0.2467"
"representative-8641","interpolation-main-wall","60","0.2042","0.3615","0.2232","0.2095","0.2840"
"small-1000","chart-warm-ui-cpu","30","19.2701","49.9221","27.7108","25.1387","42.2959"
"small-1000","chart-warm-wall","30","59.8322","108.5892","69.8522","63.5086","103.1673"
"small-1000","interpolation-main-cpu","60","0.0000","1.3674","0.4613","0.3272","1.0118"
"small-1000","interpolation-main-wall","60","0.0609","2.5057","0.5720","0.4680","1.1611"
"synthetic-large-17281","chart-warm-ui-cpu","30","13.6344","37.4279","21.4488","19.1575","34.7414"
"synthetic-large-17281","chart-warm-wall","30","60.6589","94.3173","68.6965","63.0176","93.6131"
"synthetic-large-17281","interpolation-main-cpu","60","0.0000","0.9396","0.1076","0.0000","0.4123"
"synthetic-large-17281","interpolation-main-wall","60","0.4033","1.9342","0.4666","0.4192","0.5657"
