scenario,events,plans,rep,plans_query_wall_ms,generation_wall_ms,chanA_wall_ms,chanB_wall_ms,union_wall_ms,projection_wall_ms,grouping_wall_ms,readrange_wall_ms,vmload_wall_ms,generation_cpu_ms,chanA_cpu_ms,chanB_cpu_ms,union_cpu_ms,projection_cpu_ms,grouping_cpu_ms,occurrences,chanA_rows,chanB_rows,union_events,entries,days,main_contiguous_ms
first,100,3,0,76.696,17.441,5.655,3.554,0.811,26.577,0.961,133.605,134.716,15.276,3.139,1.429,0.897,26.499,1.049,102,32,34,34,127,15,28.904
first,100,3,1,3.358,3.735,1.873,1.74,0.366,12.896,0.113,25.287,25.591,3.797,0.741,0.669,0.425,12.971,0.217,102,32,34,34,127,15,13.603
first,100,3,2,3.693,3.864,1.73,2.621,0.369,10.983,0.44,25.189,25.792,3.864,0.848,1.199,0.456,9.271,2.624,102,32,34,34,127,15,12.443
first,100,3,3,2.762,3.729,2.106,1.896,0.239,10.607,0.175,22.519,23.021,3.756,0.972,0.788,0.308,10.527,0.294,102,32,34,34,127,15,11.196
first,100,3,4,2.948,4.065,1.899,1.778,0.362,7.435,0.244,20.118,20.619,4.114,0.847,0.95,0.497,7.528,0.39,102,32,34,34,127,15,8.278
first,100,3,5,2.65,3.406,2.115,1.677,0.394,7.962,0.218,19.362,19.742,3.391,0.983,0.736,0.497,8.053,0.375,102,32,34,34,127,15,8.82
first,100,3,6,2.812,2.747,1.676,2.994,0.352,7.174,0.175,19.381,19.979,2.69,0.772,0.807,0.458,7.269,0.285,102,32,34,34,127,15,7.904
first,100,3,7,3.714,2.616,1.535,1.552,0.358,6.012,0.159,17.626,18.396,2.659,0.636,0.705,0.471,6.114,0.282,102,32,34,34,127,15,7.258
first,100,3,8,2.874,2.137,1.882,1.74,0.332,6.645,0.263,16.851,17.254,2.24,0.991,0.867,0.44,6.755,0.372,102,32,34,34,127,15,7.458
first,100,3,9,3.108,3.095,1.604,2.1,0.333,6.458,0.215,17.766,18.136,3.191,0.691,0.849,0.429,6.537,0.313,102,32,34,34,127,15,7.184
first,100,3,10,8.028,3.066,1.722,1.569,0.343,6.537,0.214,22.494,22.777,3.177,0.948,0.723,0.448,6.629,0.313,102,32,34,34,127,15,7.435
first,100,3,11,3.196,2.185,1.722,1.479,0.28,6.344,0.235,16.37,16.68,2.296,1.088,0.634,0.386,6.184,0.341,102,32,34,34,127,15,7.055
first,100,3,12,2.62,2.167,2.373,2.028,0.447,7.38,0.204,18.194,18.653,2.241,0.922,0.837,0.735,7.242,0.109,102,32,34,34,127,15,8.228
first,100,3,13,4.723,3.266,2.492,2.168,0.685,7.398,0.133,22.18,22.667,3.349,1.323,1.139,0.821,7.521,0.348,102,32,34,34,127,15,8.559
first,100,3,14,4.182,2.397,2.282,3.083,0.354,6.363,0.321,20.647,21.245,2.326,1.045,0.785,0.461,6.117,1.203,102,32,34,34,127,15,7.695
first,100,3,15,2.871,3.465,1.574,1.641,0.242,5.526,0.13,16.396,16.75,3.69,0.645,0.603,0.35,5.603,0.24,102,32,34,34,127,15,6.085
first,100,3,16,2.565,2.204,1.456,1.313,0.321,5.432,0.336,14.672,15.083,2.306,0.54,0.628,0.414,5.676,0.445,102,32,34,34,127,15,6.491
first,100,3,17,2.403,2.158,1.324,1.42,0.389,5.784,0.107,14.432,14.76,2.266,0.668,0.755,0.374,5.891,0.247,102,32,34,34,127,15,6.508
first,100,3,18,3.016,2.147,1.809,1.587,0.442,5.186,0.231,15.408,15.807,2.271,0.88,0.613,0.538,5.298,0.34,102,32,34,34,127,15,6.081
first,100,3,19,2.314,2.388,1.43,1.637,0.235,6.576,0.114,15.658,15.948,2.521,0.711,0.583,0.329,6.696,0.231,102,32,34,34,127,15,7.274
first,100,3,20,3.194,2.054,1.498,1.296,0.307,5.238,0.152,14.537,14.82,2.167,0.621,0.686,0.395,5.329,0.107,102,32,34,34,127,15,5.89
first,100,3,21,2.662,1.862,1.292,1.786,0.421,5.225,0.191,14.303,14.598,1.907,0.652,0.953,0.424,5.278,0.216,102,32,34,34,127,15,6.082
first,100,3,22,3.143,1.945,1.229,1.22,0.376,5.277,0.169,14.314,14.562,1.985,0.583,0.568,0.494,5.349,0.21,102,32,34,34,127,15,6.057
first,100,3,23,2.592,2.227,1.174,1.288,0.267,5.52,0.151,14.025,14.264,2.334,0.577,0.649,0.37,5.181,0.272,102,32,34,34,127,15,6.142
first,100,3,24,3.288,2.156,1.276,1.233,0.262,5.278,0.208,14.61,14.946,2.197,0.645,0.563,0.331,4.722,0.364,102,32,34,34,127,15,6.058
first,100,3,25,2.221,2.076,1.851,1.291,0.418,5.85,0.19,15.084,15.374,2.388,0.672,0.696,0.344,5.735,0.299,102,32,34,34,127,15,6.678
first,100,3,26,2.047,2.338,1.361,1.017,0.224,5.844,0.107,13.775,14.037,2.438,0.787,0.502,0.305,5.559,0.209,102,32,34,34,127,15,6.361
first,100,3,27,2.27,2.588,1.864,1.121,0.237,7.145,0.132,16.171,16.494,2.693,1.398,0.51,0.335,6.439,0.238,102,32,34,34,127,15,7.708
first,100,3,28,3.179,2.47,1.865,2.033,0.448,5.92,0.171,17.112,17.618,2.575,0.646,0.741,0.782,5.835,0,102,32,34,34,127,15,6.722
first,100,3,29,2.83,2.091,1.726,1.635,0.348,5.271,0.372,15.532,15.911,2.195,1.289,0.884,0.458,5.28,0.476,102,32,34,34,127,15,6.186
first,1000,3,0,75.6,16.764,15.897,14.123,2.978,97.678,1.056,225.695,227.06,15.371,5.086,4.377,3.077,96.931,1.138,102,340,362,362,455,15,102.01
first,1000,3,1,2.777,3.187,10.866,11.887,1.967,48.863,0.197,80.838,81.558,3.058,2.785,2.979,2.106,45.721,0.399,102,340,362,362,455,15,51.351
first,1000,3,2,4.841,4.663,9.377,8.649,1.722,46.056,0.254,76.826,77.486,3.111,3.523,2.646,1.72,43.447,0.389,102,340,362,362,455,15,48.469
first,1000,3,3,2.484,3.4,7.151,7.397,2.785,44.302,0.305,69.08,69.371,3.326,2.514,2.552,2.512,43.769,0.485,102,340,362,362,455,15,47.651
first,1000,3,4,2.153,2.435,6.973,6.671,1.365,50.998,0.267,72.291,72.756,2.525,2.255,2.446,1.481,47.629,0.286,102,340,362,362,455,15,53.204
first,1000,3,5,3.382,2.387,6.22,6.836,1.086,80.767,0.312,101.907,102.365,2.374,2.34,2.989,1.242,57.539,0.527,102,340,362,362,455,15,82.474
first,1000,3,6,4.101,6.137,5.863,6.106,1.237,53.402,0.238,77.921,78.278,3.971,2.286,2.88,1.359,47.455,0.367,102,340,362,362,455,15,55.114
first,1000,3,7,2.777,2.334,5.955,5.211,0.946,54.257,0.289,73.059,73.606,2.446,2.729,2.228,1.061,48.721,0.452,102,340,362,362,455,15,55.747
first,1000,3,8,2.535,2.367,5.032,4.975,0.848,53.122,0.165,69.891,70.267,2.452,1.698,2.175,0.967,46.776,0.258,102,340,362,362,455,15,54.343
first,1000,3,9,3.039,2.221,4.934,4.496,1.235,53.936,0.169,70.867,71.289,2.319,1.778,1.981,1.348,48.447,0.085,102,340,362,362,455,15,55.607
