D-09 phase statistics (ms). n = measured loads per scenario.
Fields: scenario|events|plans -> phase: min / mean / median / p95 / max

== first|100|3 ==
p1: 2.047 / 5.599 / 2.911 / 8.028 / 76.696
p2: 1.862 / 3.136 / 2.392 / 4.065 / 17.441
p3: 1.174 / 1.846 / 1.724 / 2.492 / 5.655
p4: 1.017 / 1.783 / 1.639 / 3.083 / 3.554
p5: 0.224 / 0.365 / 0.353 / 0.685 / 0.811
p6: 5.186 / 7.395 / 6.354 / 12.896 / 26.577
p7: 0.107 / 0.228 / 0.19 / 0.44 / 0.961
rr: 13.775 / 21.454 / 16.624 / 25.287 / 133.605
vl: 14.037 / 21.875 / 17.002 / 25.792 / 134.716
c2: 1.907 / 3.143 / 2.48 / 4.114 / 15.276
c3: 0.54 / 0.909 / 0.78 / 1.398 / 3.139
c4: 0.502 / 0.768 / 0.73 / 1.199 / 1.429
c5: 0.305 / 0.466 / 0.434 / 0.821 / 0.897
c6: 4.722 / 7.303 / 6.15 / 12.971 / 26.499
c7: 0 / 0.414 / 0.296 / 1.203 / 2.624
contig: 5.89 / 8.278 / 7.221 / 13.603 / 28.904

== first|1000|1 ==
p1: 1.925 / 4.722 / 2.301 / 3.51 / 72.274
p2: 0.589 / 1.339 / 0.751 / 1.782 / 14.979
p3: 3.74 / 6.046 / 4.716 / 16.159 / 21.3
p4: 3.674 / 5.868 / 5.04 / 11.076 / 13.703
p5: 0.58 / 1.067 / 0.893 / 2.046 / 3.606
p6: 17.886 / 23.337 / 21.618 / 28.654 / 59.418
p7: 0.095 / 0.274 / 0.243 / 0.459 / 0.995
rr: 33.31 / 43.838 / 37.364 / 64.915 / 182.675
vl: 33.82 / 44.347 / 38.057 / 65.493 / 184.269
c2: 0.656 / 1.321 / 0.838 / 1.679 / 13.162
c3: 1.373 / 2.029 / 1.806 / 3.106 / 5.555
c4: 1.39 / 2.203 / 2.046 / 3.465 / 6.182
c5: 0.651 / 1.134 / 0.972 / 2.131 / 3.676
c6: 17.719 / 21.04 / 19.342 / 26.756 / 59.255
c7: 0.13 / 0.37 / 0.334 / 0.755 / 1.086
contig: 19.679 / 24.99 / 22.998 / 30.136 / 64.332

== first|1000|3 ==
p1: 1.807 / 5.117 / 2.592 / 4.841 / 75.6
p2: 1.877 / 3.044 / 2.351 / 6.137 / 16.764
p3: 3.956 / 5.694 / 4.876 / 10.866 / 15.897
p4: 3.799 / 5.64 / 4.734 / 11.887 / 14.123
p5: 0.596 / 1.092 / 0.92 / 2.785 / 2.978
p6: 44.302 / 52.649 / 50.096 / 80.767 / 97.678
p7: 0.099 / 0.243 / 0.226 / 0.33 / 1.056
rr: 61.724 / 74.573 / 66.99 / 101.907 / 225.695
vl: 62.132 / 75.109 / 67.535 / 102.365 / 227.06
