scenario,events,plans,rep,main_cpu_generation_mapping_ms,worker_projection_cpu_ms,worker_grouping_cpu_ms,worker_tail_wall_ms,vm_load_wall_ms,dispatch_gap_ms,publication_ms,pure_tail_thread,queens_tail_on_main
first,1000,3,0,23.952,96.379,1.118,104.622,231.594,3.572,0.89,DefaultDispatcher-worker-1,NO
first,1000,3,1,8.262,35.508,0.711,46.501,81.031,0.28,1.299,DefaultDispatcher-worker-1,NO
first,1000,3,2,6.987,27.847,1.18,41.261,64.037,0.269,2.273,DefaultDispatcher-worker-1,NO
first,1000,3,3,6.544,38.603,0.45,40.323,60.598,0.306,0.504,DefaultDispatcher-worker-1,NO
first,1000,3,4,6.758,58.635,0,70.056,89.277,0.254,1.177,DefaultDispatcher-worker-1,NO
first,1000,3,5,6.444,44.57,0,93.803,117.224,0.332,1.157,DefaultDispatcher-worker-1,NO
first,1000,3,6,5.404,47.243,0,64.816,82.065,0.492,0.7,DefaultDispatcher-worker-1,NO
first,1000,3,7,5.993,40.338,0,66.073,83.928,0.329,0.386,DefaultDispatcher-worker-1,NO
first,1000,3,8,7.039,56.224,1.791,74.714,92.894,0.386,0.439,DefaultDispatcher-worker-1,NO
first,1000,3,9,5.007,50.838,0.406,56.527,72.446,0.302,0.449,DefaultDispatcher-worker-1,NO
first,1000,3,10,6.002,46.037,0.17,59.131,82.648,0.385,0.449,DefaultDispatcher-worker-1,NO
first,1000,3,11,5.196,43.769,0,62.393,78.658,0.303,0.453,DefaultDispatcher-worker-1,NO
first,1000,3,12,5.262,37.065,0.131,76.516,91.332,0.265,0.422,DefaultDispatcher-worker-1,NO
first,1000,3,13,5.746,44.09,0,57.973,73.531,0.694,0.49,DefaultDispatcher-worker-1,NO
first,1000,3,14,3.25,39.669,0.278,54.845,71.841,0.344,0.355,DefaultDispatcher-worker-1,NO
first,1000,3,15,5.351,49.57,0.387,56.357,71.943,0.45,0.427,DefaultDispatcher-worker-1,NO
first,1000,3,16,4.873,34.309,0.359,54.325,69.854,0.696,0.451,DefaultDispatcher-worker-1,NO
first,1000,3,17,5.18,47.036,0.433,55.635,70.364,0.35,0.609,DefaultDispatcher-worker-1,NO
first,1000,3,18,5.116,44.296,0.541,57.656,74.333,0.433,0.464,DefaultDispatcher-worker-1,NO
first,1000,3,19,5.459,48.796,0.441,55.931,79.372,0.346,0.897,DefaultDispatcher-worker-1,NO
first,1000,3,20,6.926,51.535,0.447,60.081,80.611,0.394,0.609,DefaultDispatcher-worker-1,NO
first,1000,3,21,5.833,42.543,0,51.667,66.014,0.355,0.405,DefaultDispatcher-worker-1,NO
first,1000,3,22,4.827,48.394,0.289,61.009,75.535,0.297,0.43,DefaultDispatcher-worker-1,NO
first,1000,3,23,4.008,47.436,0.27,68.73,82.195,0.323,0.465,DefaultDispatcher-worker-1,NO
first,1000,3,24,5.925,40.837,0.667,61.249,76.37,0.48,0.442,DefaultDispatcher-worker-1,NO
first,1000,3,25,4.295,41.676,0.298,54.919,67.582,0.323,0.582,DefaultDispatcher-worker-1,NO
first,1000,3,26,4.863,40.239,0,48.558,67.673,0.256,0.418,DefaultDispatcher-worker-1,NO
first,1000,3,27,4.595,41.081,0,55.979,69.684,0.295,0.665,DefaultDispatcher-worker-1,NO
first,1000,3,28,5.167,32.082,0.274,54.746,72.331,0.376,3.852,DefaultDispatcher-worker-1,NO
first,1000,3,29,4.941,34.512,0,66.063,81.623,0.28,1.006,DefaultDispatcher-worker-1,NO
month,1000,3,0,12.546,144.55,0.803,153.327,203.123,0.379,0.47,DefaultDispatcher-worker-1,NO
month,1000,3,1,12.989,162.728,0.934,206.972,242.385,0.37,0.407,DefaultDispatcher-worker-1,NO
month,1000,3,2,9.694,149.576,0.507,202.196,233.622,0.309,1.033,DefaultDispatcher-worker-1,NO
month,1000,3,3,9.585,140.19,0.352,199.592,232.607,0.467,0.405,DefaultDispatcher-worker-1,NO
month,1000,3,4,10.921,152.784,0.614,203.566,230.235,0.244,0.447,DefaultDispatcher-worker-1,NO
month,1000,3,5,8.37,145.891,0.806,191.249,235.541,0.385,0.556,DefaultDispatcher-worker-1,NO
month,1000,3,6,8.641,156.783,0.445,188.845,219.394,0.366,0.461,DefaultDispatcher-worker-1,NO
month,1000,3,7,11.666,157.728,0.702,196.269,226.92,0.263,0.744,DefaultDispatcher-worker-1,NO
month,1000,3,8,8.599,160.346,0,197.797,224.674,0.365,0.598,DefaultDispatcher-worker-1,NO
month,1000,3,9,10.63,149.334,0.502,201.927,226.236,0.31,0.499,DefaultDispatcher-worker-1,NO
month,1000,3,10,8.411,161.344,0.306,202.719,227.806,0.307,0.408,DefaultDispatcher-worker-1,NO
month,1000,3,11,10.654,158.628,0,196.958,222.031,0.346,0.524,DefaultDispatcher-worker-1,NO
month,1000,3,12,9.563,160.153,0.777,192.506,217.749,0.288,0.535,DefaultDispatcher-worker-1,NO
month,1000,3,13,9.54,159.483,0,213.226,242.798,0.236,0.76,DefaultDispatcher-worker-1,NO
month,1000,3,14,6.24,145.794,0.457,185.365,213.495,0.497,0.495,DefaultDispatcher-worker-1,NO
month,1000,3,15,8.697,147.927,0.316,187.807,217.658,1.136,0.717,DefaultDispatcher-worker-1,NO
month,1000,3,16,6.959,144.759,0.312,199.759,224.107,0.258,3.852,DefaultDispatcher-worker-1,NO
month,1000,3,17,9.152,150.146,4.491,195.475,223.198,0.383,0.347,DefaultDispatcher-worker-1,NO
month,1000,3,18,7.696,138.231,0.217,188.438,210.451,0.367,0.393,DefaultDispatcher-worker-1,NO
month,1000,3,19,9.037,126.901,0.3,201.017,229.845,0.412,0.7,DefaultDispatcher-worker-1,NO
month,1000,3,20,7.445,159.642,0,184.572,209.151,2.151,0.392,DefaultDispatcher-worker-1,NO
month,1000,3,21,10.17,139.812,0,183.561,204.751,0.39,1.65,DefaultDispatcher-worker-1,NO
month,1000,3,22,6.064,143.7,0,178.82,206.996,7.702,0.409,DefaultDispatcher-worker-1,NO
month,1000,3,23,8.201,160.415,0,190.59,210.917,0.428,0.452,DefaultDispatcher-worker-1,NO
month,1000,3,24,6.704,117.68,0,165.593,187.998,0.429,0.342,DefaultDispatcher-worker-1,NO
month,1000,3,25,8.103,148.644,1.122,187.241,207.02,0.477,0.654,DefaultDispatcher-worker-1,NO
month,1000,3,26,8.074,153.144,0,193.196,213.914,0.413,0.51,DefaultDispatcher-worker-1,NO
month,1000,3,27,6.936,140.909,0,185.004,203.71,0.319,0.58,DefaultDispatcher-worker-1,NO
month,1000,3,28,7.028,156.809,0.198,185.765,204.292,0.487,1.048,DefaultDispatcher-worker-1,NO
month,1000,3,29,8.503,151.75,0.343,190.079,210.545,0.315,0.398,DefaultDispatcher-worker-1,NO
reentry,1000,3,0,7.213,35.625,0.585,47.368,79.116,0.384,2.266,DefaultDispatcher-worker-1,NO
reentry,1000,3,1,6.585,39.072,0.44,41.11,62.376,0.358,2.688,DefaultDispatcher-worker-1,NO
reentry,1000,3,2,6.916,40.893,0.349,78.18,98.726,0.346,1.48,DefaultDispatcher-worker-1,NO
reentry,1000,3,3,6.414,32.456,4.188,58.993,77.238,0.265,1.66,DefaultDispatcher-worker-1,NO
reentry,1000,3,4,8.024,47.187,0.387,63.444,86.385,0.383,1.729,DefaultDispatcher-worker-1,NO
reentry,1000,3,5,6.389,48.031,0.382,58.421,75.756,0.474,1.306,DefaultDispatcher-worker-1,NO
reentry,1000,3,6,6.492,49.254,0.451,55.862,77.968,0.254,1.245,DefaultDispatcher-worker-1,NO
reentry,1000,3,7,5.982,47.648,0.37,61.832,77.984,0.292,0.934,DefaultDispatcher-worker-1,NO
reentry,1000,3,8,6.049,37.107,0.599,61.788,78.055,0.286,1.534,DefaultDispatcher-worker-1,NO
reentry,1000,3,9,4.749,44.601,0.395,53.245,68.247,0.242,1.248,DefaultDispatcher-worker-1,NO
reentry,1000,3,10,6.391,37.723,0,55.828,73.484,0.25,1.502,DefaultDispatcher-worker-1,NO
reentry,1000,3,11,5.331,49.515,0.317,55.835,70.909,0.311,1.453,DefaultDispatcher-worker-1,NO
reentry,1000,3,12,5.248,44.571,0.683,60.54,74.88,0.319,0.91,DefaultDispatcher-worker-1,NO
reentry,1000,3,13,4.846,38.908,0,54.984,69.72,0.346,0.787,DefaultDispatcher-worker-1,NO
reentry,1000,3,14,4.674,37.412,0,54.392,69.638,0.345,0.85,DefaultDispatcher-worker-1,NO
reentry,1000,3,15,4.993,34.465,0.33,56.848,71,0.76,1.079,DefaultDispatcher-worker-1,NO
reentry,1000,3,16,11.245,39.609,0.37,49.047,73.38,0.36,0.986,DefaultDispatcher-worker-1,NO
reentry,1000,3,17,5.004,42.954,0,54.644,69.337,0.336,0.805,DefaultDispatcher-worker-1,NO
reentry,1000,3,18,6.888,46.228,1.012,56.826,74.18,0.782,0.748,DefaultDispatcher-worker-1,NO
reentry,1000,3,19,5.472,37.899,0,62.293,78.459,0.48,0.86,DefaultDispatcher-worker-1,NO
reentry,1000,3,20,3.81,40.336,0,54.691,68.319,0.267,0.763,DefaultDispatcher-worker-1,NO
reentry,1000,3,21,5.821,56.201,0.263,67.046,85.426,0.236,1.071,DefaultDispatcher-worker-1,NO
reentry,1000,3,22,3.382,40.433,0.234,55.31,70.735,0.313,1.683,DefaultDispatcher-worker-1,NO
reentry,1000,3,23,3.978,36.907,3.293,51.38,64.103,0.236,1.082,DefaultDispatcher-worker-1,NO
reentry,1000,3,24,4.956,40.986,0,54.244,72.828,0.286,0.927,DefaultDispatcher-worker-1,NO
reentry,1000,3,25,3.487,39.31,0,54.699,75.746,0.415,0.59,DefaultDispatcher-worker-1,NO
reentry,1000,3,26,3.876,47.93,0.361,54.888,67.795,0.341,0.809,DefaultDispatcher-worker-1,NO
reentry,1000,3,27,0.787,41.227,0,54.142,72.674,0.445,0.794,DefaultDispatcher-worker-1,NO
reentry,1000,3,28,4.873,39.193,0.279,54.811,71.5,0.277,0.567,DefaultDispatcher-worker-1,NO
reentry,1000,3,29,3.054,33.637,0,65.159,80.197,0.258,0.648,DefaultDispatcher-worker-1,NO
first,1000,8,0,30.818,147.941,0.867,160.076,296.654,2.868,0.602,DefaultDispatcher-worker-1,NO
first,1000,8,1,12.324,91.316,0.419,106.001,145.214,0.609,0.439,DefaultDispatcher-worker-1,NO
first,1000,8,2,17.015,122.123,0,145.988,193.545,0.423,0.352,DefaultDispatcher-worker-1,NO
first,1000,8,3,14.341,118.049,0,149.23,181.613,0.242,0.335,DefaultDispatcher-worker-1,NO
first,1000,8,4,11.934,119.72,0,162.794,189.103,0.797,0.35,DefaultDispatcher-worker-1,NO
first,1000,8,5,11.939,114.734,0.398,143.244,166.587,0.308,0.42,DefaultDispatcher-worker-1,NO
first,1000,8,6,16.094,109.299,2.89,145.862,174.289,0.453,1.161,DefaultDispatcher-worker-1,NO
first,1000,8,7,14.01,102.723,2.692,140.064,169.059,0.374,1.019,DefaultDispatcher-worker-1,NO
first,1000,8,8,11.827,104.56,1.164,145.436,177.655,0.495,0.419,DefaultDispatcher-worker-1,NO
first,1000,8,9,8.577,115.027,0.752,158.022,192.205,0.774,1.192,DefaultDispatcher-worker-1,NO
first,1000,8,10,16.583,101.605,0,138.995,172.329,0.561,1.199,DefaultDispatcher-worker-1,NO
first,1000,8,11,17.803,100.788,0.328,146.407,183.81,0.632,0.616,DefaultDispatcher-worker-1,NO
first,1000,8,12,14.689,117.858,0.322,153.043,180.075,0.365,0.589,DefaultDispatcher-worker-1,NO
first,1000,8,13,8.798,110.125,0.374,131.206,158.396,0.377,0.388,DefaultDispatcher-worker-1,NO
first,1000,8,14,10.64,107.997,0.471,142.37,168.714,0.394,0.403,DefaultDispatcher-worker-1,NO
first,1000,8,15,11.813,122.287,0.413,138.714,164.371,0.364,1.055,DefaultDispatcher-worker-1,NO
first,1000,8,16,9.557,91.48,0.233,135.663,156.756,0.38,0.51,DefaultDispatcher-worker-1,NO
first,1000,8,17,7.012,99.584,0,143.379,172.444,0.337,1.097,DefaultDispatcher-worker-1,NO
first,1000,8,18,7.708,120.166,0.378,161.651,189.097,0.478,2.311,DefaultDispatcher-worker-1,NO
first,1000,8,19,12.736,102.661,0.204,139.41,179.649,0.472,0.56,DefaultDispatcher-worker-1,NO
first,1000,8,20,5.81,104.179,0.335,129.953,148.823,0.421,0.445,DefaultDispatcher-worker-1,NO
first,1000,8,21,11.452,94.323,0,137.871,161.971,0.955,0.454,DefaultDispatcher-worker-1,NO
first,1000,8,22,7.172,123.069,0.468,146.008,167.704,0.739,0.422,DefaultDispatcher-worker-1,NO
first,1000,8,23,9.738,109.694,0,139.726,160.57,0.228,0.976,DefaultDispatcher-worker-1,NO
first,1000,8,24,10.722,91.179,0,138.092,168.72,0.474,0.639,DefaultDispatcher-worker-1,NO
first,1000,8,25,12.331,100.39,2.624,136.064,168.31,0.324,0.505,DefaultDispatcher-worker-1,NO
first,1000,8,26,13.115,102.991,0,134.468,165.478,0.41,0.458,DefaultDispatcher-worker-1,NO
first,1000,8,27,8.353,100.663,0.277,143.181,174.133,0.441,1.161,DefaultDispatcher-worker-1,NO
